x,y
3.301650825412706780e+01,3.164707353676838419e+00
3.435059238161795037e+01,3.164210245826430512e+00
3.568467650910883293e+01,3.160136600963798781e+00
3.701876063659970839e+01,3.153036317153551593e+00
3.835284476409059096e+01,3.110614980857262957e+00
3.968692889158147352e+01,3.128330496906744695e+00
4.102101301907235609e+01,3.113047729895098037e+00
4.235509714656323865e+01,3.138725769920136077e+00
4.368918127405412122e+01,3.137669965636084246e+00
4.502326540154499668e+01,3.188242990842155233e+00
4.635734952903587924e+01,3.085042521260630277e+00
4.769143365652676181e+01,3.185150364126787093e+00
4.902551778401764437e+01,3.132316158079039514e+00
5.035960191150851983e+01,2.927001817491661217e+00
5.169368603899940240e+01,3.174438349828180961e+00
5.302777016649028496e+01,3.138734568289168525e+00
5.436185429398116753e+01,3.084246268863075624e+00
5.569593842147205009e+01,3.107034044660521577e+00
5.703002254896293266e+01,2.874264393503297210e+00
5.836410667645381523e+01,3.110430215107554019e+00
5.969819080394469069e+01,3.087844801797884120e+00
6.103227493143557325e+01,3.098455634852602003e+00
6.236635905892645582e+01,3.099687406517328991e+00
6.370044318641733128e+01,3.106677710714653706e+00
6.503452731390822805e+01,2.871132174127264403e+00
6.636861144139909641e+01,3.147295381359020983e+00
6.770269556888997897e+01,2.863662358817599785e+00
6.903677969638086154e+01,3.105203983901498432e+00
7.037086382387174410e+01,3.121502962536541581e+00
7.170494795136262667e+01,2.834253810322247435e+00
7.303903207885349502e+01,2.869086553326914757e+00
7.437311620634437759e+01,3.140441451881720081e+00
7.570720033383526015e+01,2.841380489239593743e+00
7.704128446132614272e+01,1.710345750764829642e+00
7.837536858881702528e+01,1.551517592967337933e+00
7.970945271630790785e+01,1.554733396849175664e+00
8.104353684379879041e+01,1.574182191598360481e+00
8.237762097128967298e+01,2.626220773703421774e+00
8.371170509878055555e+01,2.830791652107460976e+00
8.504578922627143811e+01,2.858304152076037941e+00
8.637987335376232068e+01,3.146631104496969034e+00
8.771395748125320324e+01,2.852813969798968952e+00
8.904804160874408581e+01,2.077242138657215964e+00
9.038212573623496837e+01,2.865967531504445720e+00
9.171620986372585094e+01,2.020510255127563770e+00
9.305029399121673350e+01,2.581467869613197408e+00
9.438437811870760186e+01,2.293558839721372422e+00
9.571846224619848442e+01,1.741588759203722248e+00
